Point	Segment	Pseudotime	Trajectories_1	Trajectories_2	Trajectories_3	Trajectories_4	Trajectories_5	Trajectories_6	Trajectories_7	Trajectory_15__46	Trajectory_15__47	Trajectory_15__48	Trajectory_15__49	Trajectory_15__50	Trajectory_15__51	Trajectory_15__52	Trajectory_15__53
751	5	8.97642725067588	51							0	0	0	0	0	1	0	0
752	1	1.63535500381566	48							0	0	1	0	0	0	0	0
753	1	0.108242967915132	48							0	0	1	0	0	0	0	0
754	1	3.623973228372	48							0	0	1	0	0	0	0	0
755	1	2.70851799643581	48							0	0	1	0	0	0	0	0
756	11	10.6565503882452	47							0	1	0	0	0	0	0	0
757	2	1.65617407955978	47	49	50	51	52	53		0	1	0	1	1	1	1	1
758	0	3.0150506159473	46							1	0	0	0	0	0	0	0
759	1	0.197224980780723	46	47	49	50	51	52	53	1	1	0	1	1	1	1	1
760	0	3.42920741673357	46							1	0	0	0	0	0	0	0
761	0	3.66454957235302	46							1	0	0	0	0	0	0	0
762	0	2.93614904093305	46							1	0	0	0	0	0	0	0
763	10	7.91488930618791	52							0	0	0	0	0	0	1	0
764	1	9	48							0	0	1	0	0	0	0	0
765	2	3	47	49	50	51	52	53		0	1	0	1	1	1	1	1
766	1	0.136680482665196	46	47	49	50	51	52	53	1	1	0	1	1	1	1	1
767	1	3.27884135088682	48							0	0	1	0	0	0	0	0
768	12	6.64433020727273	49							0	0	0	1	0	0	0	0
769	1	8.14297458367292	48							0	0	1	0	0	0	0	0
770	1	0.871251038195312	46	47	49	50	51	52	53	1	1	0	1	1	1	1	1
771	1	3.67589708344104	48							0	0	1	0	0	0	0	0
772	2	3	47	49	50	51	52	53		0	1	0	1	1	1	1	1
773	11	9.88642671703474	47							0	1	0	0	0	0	0	0
774	12	4.81650775537793	49							0	0	0	1	0	0	0	0
775	2	2.49302891281097	47	49	50	51	52	53		0	1	0	1	1	1	1	1
776	1	1.26020946740036	48							0	0	1	0	0	0	0	0
777	1	8.17543242953241	48							0	0	1	0	0	0	0	0
778	1	0.679708879554406	46	47	49	50	51	52	53	1	1	0	1	1	1	1	1
779	1	0.0367913228910544	46	47	49	50	51	52	53	1	1	0	1	1	1	1	1
780	1	8.28903383429743	48							0	0	1	0	0	0	0	0
781	1	8.08033158880701	48							0	0	1	0	0	0	0	0
782	12	5.94720979229359	49							0	0	0	1	0	0	0	0
783	0	3.79010585436466	46							1	0	0	0	0	0	0	0
784	1	9	48							0	0	1	0	0	0	0	0
785	0	3	46							1	0	0	0	0	0	0	0
786	1	1	48							0	0	1	0	0	0	0	0
787	1	9	48							0	0	1	0	0	0	0	0
788	0	2	46							1	0	0	0	0	0	0	0
789	12	6	49							0	0	0	1	0	0	0	0
790	11	13.4659249592865	47							0	1	0	0	0	0	0	0
791	1	8.89459002196113	48							0	0	1	0	0	0	0	0
792	1	0	46	47	49	50	51	52	53	1	1	0	1	1	1	1	1
793	0	4	46							1	0	0	0	0	0	0	0
794	1	4	48							0	0	1	0	0	0	0	0
795	3	4.14695146680042	47	50	51	52	53			0	1	0	0	1	1	1	1
796	2	1.45266860777937	47	49	50	51	52	53		0	1	0	1	1	1	1	1
797	2	1	46							1	0	0	0	0	0	0	0
798	1	8.24595020627343	48							0	0	1	0	0	0	0	0
799	1	0.945762952631652	48							0	0	1	0	0	0	0	0
800	1	9	48							0	0	1	0	0	0	0	0
801	1	2	48							0	0	1	0	0	0	0	0
802	1	2.8212033303213	48							0	0	1	0	0	0	0	0
803	1	8.27386447442868	48							0	0	1	0	0	0	0	0
804	1	4.64084059800313	48							0	0	1	0	0	0	0	0
805	0	2.03456814683106	46							1	0	0	0	0	0	0	0
806	10	11.7356861415227	52							0	0	0	0	0	0	1	0
807	1	0.607267693188563	46	47	49	50	51	52	53	1	1	0	1	1	1	1	1
808	1	0	46	47	49	50	51	52	53	1	1	0	1	1	1	1	1
809	1	0	46	47	49	50	51	52	53	1	1	0	1	1	1	1	1
810	8	10.940886636709	53							0	0	0	0	0	0	0	1
811	1	8	48							0	0	1	0	0	0	0	0
812	12	4.78621080458732	49							0	0	0	1	0	0	0	0
813	2	1.91417388899958	47	49	50	51	52	53		0	1	0	1	1	1	1	1
814	0	2.01065636313702	46							1	0	0	0	0	0	0	0
815	12	7	49							0	0	0	1	0	0	0	0
816	1	2.5968709600759	48							0	0	1	0	0	0	0	0
817	1	7.75406826136511	48							0	0	1	0	0	0	0	0
818	1	0	46	47	49	50	51	52	53	1	1	0	1	1	1	1	1
819	1	3	48							0	0	1	0	0	0	0	0
820	1	0.567010275452663	48							0	0	1	0	0	0	0	0
821	1	0	46	47	49	50	51	52	53	1	1	0	1	1	1	1	1
